# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	1873
#@/user_id	657779a0-85c3-4e22-ba13-4b7898ef35e3
a5 	啊	c=2 d=1.98511 t=1040
xuan2 zhuan3 pu3 la1 ti2 	旋轉普拉提	c=1 d=1 t=833
xue2 	學	c=2 d=1.99501 t=1322
xue2 fen1 	學分	c=1 d=1 t=601
xue2 sheng1 	學生	c=2 d=1.68045 t=1743
xue2 xi2 	學習	c=6 d=3.12052 t=1655
xue2 yuan2 	學員	c=3 d=1.00223 t=1573
xue2 yuan2 men5 	學員們	c=1 d=1 t=638
xue2 yuan4 	學院	c=1 d=1 t=60
xue3 ban3 	雪板	c=1 d=1 t=738
xue3 chang3 	雪場	c=1 d=1 t=728
ya1 suo1 kong1 qi4 	壓縮空氣	c=1 d=1 t=1157
ya3 zhou1 	亞洲	c=2 d=1.37344 t=259
yan2 	言	c=1 d=1 t=1292
yang3 wo4 	仰臥	c=7 d=3.21986 t=1809
yao1 bei4 	腰背	c=2 d=1.04929 t=1709
yao1 bei4 	要被	c=0 d=0.1 t=1105
yao1 bei4 teng2 tong4 	要被疼痛	c=1 d=1 t=1106
yao1 lai2 	要來	c=1 d=1 t=1690
yao1 qiu2 	要求	c=0 d=0.1 t=178
yao1 qiu2 me5 wen4 ti2 	要求麼問題	c=1 d=1 t=179
yao2 bai3 	搖擺	c=3 d=2.27765 t=1342
yao4 	要	c=2 d=1.0513 t=1595
ye3 	也	c=3 d=0.335078 t=1030
ye3 bu4 	也不	c=0 d=0.1 t=431
ye3 bu4 yong4 	也不用	c=1 d=1 t=1031
ye3 bu4 yuan4 yi4 	也不願意	c=1 d=1 t=432
ye3 gong1 kai1 	也公開	c=1 d=1 t=388
ye3 gong1 kai1 zai4 wang3 shang4 	也公開在網上	c=1 d=1 t=379
ye3 jiu4 shi4 	也就是	c=2 d=1.99501 t=1765
ye3 ke3 yi3 	也可以	c=1 d=1 t=1469
ye3 mei2 	也沒	c=0 d=0.1 t=1033
ye3 shi4 	也是	c=1 d=1 t=1725
ye3 shuo1 	也說	c=1 d=1 t=412
ye3 xu3 	也許	c=0 d=0.1 t=401
ye3 xu3 ni3 fa1 xian4 	也許你發現	c=1 d=1 t=402
ye4 	頁	c=1 d=1 t=1132
yi1 	一	c=1 d=1 t=1862
yi1 bai3 	一百	c=0 d=0.1 t=1193
yi1 bai3 ci4 	一百次	c=1 d=1 t=1194
yi1 ben3 	一本	c=1 d=1 t=1866
yi1 bian4 	一遍	c=1 d=1.09851 t=1237
yi1 dian3 	一點	c=1 d=1 t=1474
yi1 ding4 	一定	c=1 d=1 t=765
yi1 dui4 yi1 	一對一	c=1 d=1 t=1643
yi1 fen4 	一份	c=1 d=1 t=1873
yi1 kao4 	依靠	c=0 d=0.1 t=287
yi1 la1 	一拉	c=0 d=0.1 t=1008
yi1 la1 bao3 	一拉寶	c=2 d=1.97045 t=1015
yi1 ming2 	一名	c=1 d=1 t=1726
yi1 qi3 	一起	c=1 d=1 t=1650
yi1 tao4 	一套	c=1 d=1 t=138
yi1 xie1 	一些	c=2 d=1.21331 t=533
yi1 xue2 	醫學	c=0 d=0.1 t=94
yi1 zhang1 	一張	c=1 d=1 t=1579
yi1 zhi2 	一直	c=1 d=1 t=567
yi2 	怡	c=1 d=1 t=1380
yi2 dong4 	移動	c=2 d=1.02914 t=732
yi2 dong4 xian3 shi4 qi4 	移動顯示器	c=1 d=1 t=5
yi2 ge4 	一個	c=3 d=1.98575 t=1010
yi2 han4 	遺憾	c=0 d=0.1 t=500
yi3 	以	c=1 d=1 t=665
yi3 ji2 	以及	c=3 d=2.63944 t=143
yi3 jing1 	已經	c=1 d=1 t=1628
yi3 nei4 	以內	c=1 d=1 t=609
yi3 shang4 	以上	c=2 d=1.64115 t=418
yi3 wai4 	以外	c=1 d=0.375271 t=602
yi3 xia4 	以下	c=2 d=1.99501 t=535
yi3 zi5 	椅子	c=1 d=1.1 t=1749
yi4 wu4 	義務	c=0 d=0.1 t=493
yi4 xue2 	易學	c=1 d=1 t=706
yin1 	因	c=1 d=1 t=1325
yin1 ci3 	因此	c=3 d=1.94569 t=546
yin3 dao3 	引導	c=1 d=0.109095 t=1188
yin3 dao3 yuan2 ze2 	引導原則	c=1 d=1 t=1189
yin4 	印	c=11 d=5.05271 t=1872
yin4 shua1 	印刷	c=1 d=1 t=1094
ying1 gai1 	應該	c=0 d=0.1 t=311
ying1 wen2 	英文	c=1 d=1 t=1445
ying1 yu3 	英語	c=1 d=1 t=1319
ying3 xiang3 	影響	c=1 d=1 t=1181
yo5 ga2 	喲噶	c=1 d=1 t=1300
yong3 you3 	擁有	c=1 d=1 t=1629
yong4 	用	c=3 d=1.27023 t=523
yong4 zhe4 ge5 	用這個	c=2 d=1.36972 t=715
you1 hui4 	優惠	c=1 d=1 t=67
you2 ta1 	猶他	c=0 d=0.1 t=84
you2 ta1 da4 xue2 	猶他大學	c=1 d=1 t=85
you2 yong3 	游泳	c=2 d=1.72979 t=1341
you3 	有	c=9 d=0.254607 t=1845
you3 hai4 	有害	c=1 d=1 t=492
you3 jin4 zhan3 	有進展	c=1 d=1 t=734
you3 ju4 	有句	c=1 d=1 t=448
you3 lian4 jie1 	有鏈接	c=2 d=1.99501 t=1847
you3 neng2 li4 	有能力	c=1 d=1 t=426
you3 pu3 la1 ti2 	有普拉提	c=1 d=1 t=1255
you3 qu4 	有趣	c=1 d=1 t=864
you3 wen4 ti2 	有問題	c=1 d=1 t=923
you3 xie1 	有些	c=0 d=0.1 t=403
you3 xie1 pei2 xun4 	有些培訓	c=1 d=1 t=404
you3 xie1 ren2 	有些人	c=1 d=1 t=658
you3 yi4 shi4 	有意識	c=1 d=1 t=1144
you3 zi1 ge2 	有資格	c=2 d=1.43387 t=522
you4 	幼	c=1 d=1 t=1323
yu2 	於	c=1 d=1 t=1766
yu2 jia1 	瑜伽	c=0 d=0.1 t=743
yu2 jia1 jiao1 liu2 hui4 	瑜伽交流會	c=1 d=1 t=744
yu3 	與	c=11 d=3.24757 t=1779
yu3 jiao3 huai2 	與腳踝	c=1 d=1 t=971
yu3 jiao4 xue2 	與教學	c=1 d=1 t=1634
yu4 bei4 	預備	c=3 d=2.84646 t=1370
yuan2 	元	c=4 d=3.44227 t=134
yuan2 	員	c=1 d=1 t=566
yuan2 	袁	c=1 d=1 t=1121
yuan2 jia4 	原價	c=2 d=1.74453 t=128
yuan2 lai2 	原來	c=1 d=1 t=1636
yuan2 li3 	原理	c=1 d=1 t=825
yuan2 man3 	圓滿	c=1 d=1 t=1570
yuan2 wen2 	原文	c=0 d=0.1 t=269
yuan2 wen2 zai4 zhe4 li3 	原文在這裏	c=1 d=1 t=270
yuan2 ze2 	原則	c=0 d=0.1 t=1188
yuan4 yi4 	願意	c=1 d=1.03198 t=659
yue4 	月	c=4 d=2.03739 t=1670
yun2 ding3 	雲頂	c=4 d=2.18008 t=730
yun2 ding3 zhi1 xing1 	雲頂之星	c=1 d=1 t=723
yun4 dong4 	運動	c=2 d=2.0121 t=1078
yun4 dong4 li3 lun4 	運動理論	c=2 d=1.85214 t=1083
yun4 dong4 yi1 xue2 	運動醫學	c=1 d=1 t=95
yun4 dong4 zhi2 liang4 	運動質量	c=1 d=1 t=47
yun4 dong4 zhuan1 jia1 	運動專家	c=1 d=1 t=97
yun4 fei4 	運費	c=2 d=1.97045 t=1760
yun4 ying2 	運營	c=0 d=0.1 t=558
yun4 ying2 de5 	運營的	c=1 d=1 t=559
yun4 yong4 	運用	c=2 d=1.80252 t=1774
zai4 	再	c=2 d=1.15894 t=1235
zai4 	在	c=5 d=2.44605 t=1720
zai4 ci4 	再次	c=1 d=1 t=690
zai4 gei3 wo3 	再給我	c=1 d=1 t=1236
zai4 guan1 wang3 	在官網	c=1 d=1 t=389
zai4 li4 yong4 	在利用	c=1 d=1 t=406
zai4 ming2 xian3 	在明顯	c=1 d=1 t=1586
zai4 wo3 	在我	c=0 d=0.1 t=840
zai4 wo3 men5 	在我們	c=1 d=1 t=841
zai4 zhe4 li3 	在這裏	c=0 d=0.1 t=269
zai4 zhong1 guo2 	在中國	c=2 d=1.41271 t=385
zai4 zhong4 yao4 di4 qu1 	在重要地區	c=1 d=1 t=256
zao3 shuo1 	早說	c=1 d=1 t=1584
zen3 ma5 	怎嗎	c=1 d=1 t=1844
zen3 me5 	怎麽	c=6 d=1.02469 t=1853
zen3 me5 ban4 	怎麼辦	c=1 d=1 t=805
zeng1 jia1 	增加	c=1 d=1 t=1115
zhang1 	張	c=2 d=1.25564 t=1863
zhang1 jia1 kou3 	張家口	c=2 d=1.97045 t=151
zhang3 wo4 	掌握	c=1 d=1 t=1505
zhang4 ai4 	障礙	c=1 d=1 t=1142
zhang4 hao4 	帳號	c=2 d=1.98511 t=721
zhao1 sheng1 	招生	c=0 d=0.1 t=667
zhao1 sheng1 de5 	招生的	c=1 d=1 t=668
zhao4 pian4 	照片	c=0 d=0.1 t=1575
zhe2 dao1 	折刀	c=1 d=1 t=1230
zhe2 die2 	摺疊	c=3 d=2.91683 t=1159
zhe2 xue2 	哲學	c=0 d=0.1 t=1533
zhe4 	這	c=1 d=0.142638 t=786
zhe4 ci4 	這次	c=1 d=0.111221 t=1674
zhe4 ci4 nan2 de2 	這次難得	c=1 d=1 t=1675
zhe4 dong4 zuo4 	這動作	c=1 d=1 t=787
zhe4 ge5 	這個	c=4 d=1.55732 t=1161
zhe4 jiu4 	這就	c=0 d=0.1 t=629
zhe4 jiu4 shuo1 ming2 	這就說明	c=1 d=1 t=630
zhe4 liang3 ge4 	這兩個	c=1 d=1 t=1007
zhe4 xie1 	這些	c=1 d=1 t=762
zhe4 zhou1 	這周	c=0 d=0.1 t=1458
zhe4 zhou1 liu4 	這周六	c=2 d=1.97045 t=1465
zhen1 dui4 	針對	c=1 d=1 t=33
zhen1 zheng1 	真正	c=1 d=1.07531 t=376
zhen1 zheng1 de5 guo2 ji4 ren4 zheng4 	真正的國際認證	c=1 d=1 t=377
zheng1 fan3 	正反	c=1 d=1 t=1867
zheng1 fan3 mian4 	正反面	c=1 d=1 t=1092
zheng1 mian4 	正面	c=1 d=1 t=1095
zheng3 ge5 	整個	c=1 d=1 t=544
zheng4 	證	c=2 d=2.08362 t=1428
zheng4 jian4 	證件	c=1 d=1 t=183
zheng4 shu1 	證書	c=3 d=1.0059 t=1439
zhi1 	之	c=0 d=0.1 t=604
zhi1 bao3 	之寶	c=0 d=0.1 t=143
zhi1 cheng1 	支撐	c=0 d=0.199501 t=1279
zhi1 chi2 	支持	c=5 d=3.24665 t=568
zhi1 fu4 	支付	c=0 d=0.1 t=1596
zhi1 fu4 le5 	支付了	c=1 d=1 t=1597
zhi1 hou4 	之後	c=0 d=0.1 t=1728
zhi1 ren4 ke3 	之認可	c=1 d=1 t=605
zhi1 shi4 chan3 quan2 	知識產權	c=0 d=0.1 t=528
zhi1 xing1 	之星	c=1 d=0.157844 t=722
zhi1 zhong1 	之中	c=1 d=1 t=612
zhi2 	直	c=1 d=1 t=1275
zhi2 bei4 	直背	c=1 d=1 t=1488
zhi2 liang4 	質量	c=0 d=0.1 t=46
zhi2 tui3 	直腿	c=1 d=1 t=1210
zhi2 ye4 	職業	c=1 d=1.00009 t=1637
zhi2 ye4 xie2 hui4 	職業協會	c=1 d=1 t=231
zhi3 	只	c=4 d=1.27153 t=1773
zhi4 ding4 	制定	c=1 d=1 t=573
zhi4 jin1 	至今	c=4 d=3.87123 t=109
zhi4 shao3 	至少	c=1 d=1 t=465
zhong1 	中	c=2 d=1.11136 t=1513
zhong1 guo2 	中國	c=7 d=2.33926 t=1691
zhong1 guo2 fen1 hui4 	中國分會	c=1 d=1 t=263
zhong1 guo2 fu4 ze2 	中國負責	c=1 d=1 t=475
zhong1 guo2 pu3 la1 ti2 	中國普拉提	c=1 d=1 t=275
zhong1 guo2 qu1 	中國區	c=1 d=1 t=671
zhong1 ji2 	中級	c=5 d=1.3823 t=1539
zhong1 li4 	中立	c=0 d=0.1 t=1317
zhong1 shan1 	中山	c=1 d=1 t=1091
zhong1 wen2 	中文	c=2 d=1.64082 t=1491
zhong1 yu2 	終於	c=1 d=1 t=1689
zhong4 yao4 	重要	c=2 d=1.9077 t=966
zhou1 	周	c=1 d=1 t=191
zhou1 san1 	週三	c=1 d=1 t=1032
zhou1 si4 	週四	c=1 d=1 t=1035
zhou1 wei2 	周圍	c=1 d=1.02242 t=1114
zhou2 	軸	c=1 d=1 t=1478
zhu3 ti2 	主題	c=1 d=1 t=1716
zhu4 ce4 biao3 	註冊表	c=0 d=0.1 t=1124
zhu4 jiao4 	助教	c=2 d=1.70469 t=1794
zhuan1 jia1 	專家	c=0 d=0.1 t=96
zhuan1 ye4 	專業	c=3 d=2.52495 t=703
zhuan3 	轉	c=0 d=0.1 t=1377
zhuan3 ping2 ban3 	轉平板	c=1 d=1 t=1378
zhuan3 tou2 	轉頭	c=1 d=1 t=1371
zhuan3 yao1 	轉腰	c=1 d=1 t=1277
zi1 ge2 	資格	c=1 d=1 t=679
zi1 shi4 	姿勢	c=1 d=1 t=1825
zi1 tai4 	姿態	c=1 d=1 t=44
zi1 xun2 	諮詢	c=1 d=1 t=1260
zi4 	自	c=2 d=1.99501 t=1762
zi4 ji3 	自己	c=2 d=1.39671 t=829
zi4 ji3 de5 	自己的	c=1 d=1 t=636
zi4 jue2 	自覺	c=1 d=1 t=556
zi4 wo3 	自我	c=1 d=1 t=1119
zi4 xing2 che1 	自行車	c=1 d=1 t=1224
zong3 bu4 	總部	c=1 d=1.08958 t=273
zong3 jian1 	總監	c=1 d=1 t=102
zu2 zu2 	足足	c=1 d=1 t=960
zu3 zhi1 	組織	c=3 d=3.04092 t=1839
zu3 zhuang1 	組裝	c=2 d=1.96079 t=828
zui4 chong2 	最重	c=0 d=0.1 t=1616
zui4 chong2 ai4 de5 	最重愛的	c=1 d=1 t=1617
zui4 hao3 	最好	c=1 d=1 t=1261
zui4 hou4 	最後	c=1 d=1 t=680
zui4 jin4 	最近	c=3 d=1.46392 t=622
zuo3 shou3 	左手	c=1 d=1 t=1153
zuo4 	做	c=1 d=1 t=660
zuo4 wei2 	作爲	c=3 d=1.46654 t=670
